OSS;MATRICOLA;CODICE_COMPAGNIA;RAGIONE_SOCIALE
21320;A000436330;D969R;ADRIATIC OSIGURANJE D.D.
21321;A000436397;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
21322;A000436397;A463S;ALLIANZ SOCIETA' PER AZIONI
21323;A000436397;D891R;AWP P&C S.A.
21324;A000437325;A044S;GENERALI ITALIA S.P.A.
21325;A000437325;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
21326;A000437325;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
21327;A000437325;A390S;EUROP ASSISTANCE ITALIA S.P.A.
21328;A000437328;A342S;UNISALUTE S.P.A.
21329;A000437328;A505S;UNIPOL ASSICURAZIONI S.P.A.
21330;A000437719;A342S;UNISALUTE S.P.A.
21331;A000437719;A505S;UNIPOL ASSICURAZIONI S.P.A.
21332;A000437797;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
21333;A000437798;A342S;UNISALUTE S.P.A.
21334;A000437798;A505S;UNIPOL ASSICURAZIONI S.P.A.
21335;A000437857;A342S;UNISALUTE S.P.A.
21336;A000437857;A505S;UNIPOL ASSICURAZIONI S.P.A.
21337;A000438028;A044S;GENERALI ITALIA S.P.A.
21338;A000438028;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
21339;A000438028;A390S;EUROP ASSISTANCE ITALIA S.P.A.
21340;A000438055;A463S;ALLIANZ SOCIETA' PER AZIONI
21341;A000438055;A505S;UNIPOL ASSICURAZIONI S.P.A.
21342;A000438055;D878R;ALLIANZ GLOBAL LIFE DAC
21343;A000438055;D891R;AWP P&C S.A.
21344;A000438106;A044S;GENERALI ITALIA S.P.A.
