OSS;MATRICOLA;CODICE_COMPAGNIA;RAGIONE_SOCIALE
21042;A000426924;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
21043;A000426928;A077S;ZURICH INVESTMENTS LIFE S.P.A.
21044;A000426928;D866R;ZURICH INSURANCE EUROPE AG
21045;A000426928;D980R;GAMALIFE COMPANHIA DE SEGUROS DE VIDA, SA
21046;A000426928;X497R;ZURICH INSURANCE COMPANY LTD
21047;A000426929;A044S;GENERALI ITALIA S.P.A.
21048;A000426929;A390S;EUROP ASSISTANCE ITALIA S.P.A.
21049;A000426932;A044S;GENERALI ITALIA S.P.A.
21050;A000426932;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
21051;A000426932;A390S;EUROP ASSISTANCE ITALIA S.P.A.
21052;A000426960;A342S;UNISALUTE S.P.A.
21053;A000426960;A505S;UNIPOL ASSICURAZIONI S.P.A.
21054;A000426963;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
21055;A000426963;A463S;ALLIANZ SOCIETA' PER AZIONI
21056;A000426963;D878R;ALLIANZ GLOBAL LIFE DAC
21057;A000426963;D891R;AWP P&C S.A.
21058;A000427558;A135S;VITTORIA ASSICURAZIONI S.P.A.
21059;A000427558;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
21060;A000427572;A463S;ALLIANZ SOCIETA' PER AZIONI
21061;A000427572;D866R;ZURICH INSURANCE EUROPE AG
21062;A000427572;D891R;AWP P&C S.A.
21063;A000427572;X497R;ZURICH INSURANCE COMPANY LTD
21064;A000427716;A342S;UNISALUTE S.P.A.
21065;A000427716;A505S;UNIPOL ASSICURAZIONI S.P.A.
21066;A000427758;A342S;UNISALUTE S.P.A.
21067;A000427758;A505S;UNIPOL ASSICURAZIONI S.P.A.
21068;A000427951;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
21069;A000427951;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
21070;A000427951;A342S;UNISALUTE S.P.A.
21071;A000427951;A505S;UNIPOL ASSICURAZIONI S.P.A.
21072;A000428002;A123M;SOCIETA' REALE MUTUA DI ASSICURAZIONI
21073;A000428043;D952R;LLOYD'S INSURANCE COMPANY SA
21074;A000428043;D962R;XL INSURANCE COMPANY SE
21075;A000428095;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
21076;A000428095;A390S;EUROP ASSISTANCE ITALIA S.P.A.
21077;A000428101;A044S;GENERALI ITALIA S.P.A.
21078;A000428101;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
21079;A000428101;A390S;EUROP ASSISTANCE ITALIA S.P.A.
21080;A000428104;A463S;ALLIANZ SOCIETA' PER AZIONI
21081;A000428104;A505S;UNIPOL ASSICURAZIONI S.P.A.
21082;A000428104;D866R;ZURICH INSURANCE EUROPE AG
21083;A000428104;D878R;ALLIANZ GLOBAL LIFE DAC
21084;A000428104;D891R;AWP P&C S.A.
21085;A000428104;X497R;ZURICH INSURANCE COMPANY LTD
21086;A000428107;A342S;UNISALUTE S.P.A.
21087;A000428107;A505S;UNIPOL ASSICURAZIONI S.P.A.
21088;A000428130;A055X;HDI ASSICURAZIONI S.P.A.
21089;A000428132;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
21090;A000428134;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
21091;A000428208;A037S;AXA ASSICURAZIONI S.P.A.
21092;A000428208;A044S;GENERALI ITALIA S.P.A.
21093;A000428208;A113C;GENERTEL S.P.A.
21094;A000428208;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
21095;A000428208;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
21096;A000428969;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
21097;A000428969;A294S;SARA VITA S.P.A.
21098;A000429176;A342S;UNISALUTE S.P.A.
21099;A000429176;A505S;UNIPOL ASSICURAZIONI S.P.A.
21100;A000429177;10400;MERKUR VERSICHERUNG AKTIENGESELLSCHAFT
21101;A000429177;D857R;TIROLER VERSICHERUNG V.A.G
21102;A000429177;X460R;SCHWEIZERISCHE HAGEL-VERSICHERUNGS-GESELLSHAFT - SOCIETA' SVIZZERA DI
21103;A000429181;A342S;UNISALUTE S.P.A.
21104;A000429181;A505S;UNIPOL ASSICURAZIONI S.P.A.
21105;A000429187;A044S;GENERALI ITALIA S.P.A.
21106;A000429187;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
21107;A000429187;A390S;EUROP ASSISTANCE ITALIA S.P.A.
21108;A000429195;A342S;UNISALUTE S.P.A.
21109;A000429195;A505S;UNIPOL ASSICURAZIONI S.P.A.
21110;A000429196;A037S;AXA ASSICURAZIONI S.P.A.
21111;A000429196;C399R;INTER PARTNER ASSISTANCE SA
21112;A000429196;D870R;AXA LIFE EUROPE DAC
21113;A000429196;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
21114;A000429200;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
21115;A000429200;A342S;UNISALUTE S.P.A.
21116;A000429200;A484S;TUTELA LEGALE S.P.A.
21117;A000429200;A505S;UNIPOL ASSICURAZIONI S.P.A.
21118;A000429203;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
21119;A000429203;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
21120;A000429203;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
21121;A000429203;A463S;ALLIANZ SOCIETA' PER AZIONI
21122;A000429203;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
21123;A000429203;D840R;MAPFRE ASISTENCIA, COMPAÑIA INTERNATIONAL DE SEGUROS Y REASEGUROS, S.A.
21124;A000429203;D891R;AWP P&C S.A.
21125;A000429203;D969R;ADRIATIC OSIGURANJE D.D.
21126;A000429205;A044S;GENERALI ITALIA S.P.A.
21127;A000429205;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
21128;A000429205;A390S;EUROP ASSISTANCE ITALIA S.P.A.
21129;A000429270;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
21130;A000429270;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
21131;A000429270;A390S;EUROP ASSISTANCE ITALIA S.P.A.
21132;A000429271;A044S;GENERALI ITALIA S.P.A.
21133;A000429271;A077S;ZURICH INVESTMENTS LIFE S.P.A.
21134;A000429271;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
