Nr.;Nr. ordine;Nr. cliente;Ragione Sociale;Cod. valuta;Data scadenza;Importo;Importo IVA inclusa;Importo residuo;Spedire a - Codice;Spedire a - CAP;Data di registrazione;Cod. agente;Cdc Codice;Cod. colleg. dimen. 2;Cod. ubicazione;Copie stampate;Cod. condizioni pagam.;Chiuso;Annullato;Rettifica;E-mail inviata;Data/ora invio mail;Fatturare a - Indirizzo;Fatturare a - Città;Provincia di fatturazione;Spedire a - Indirizzo;Spedire a - Città;Cod. metodo di pagamento;Cat. reg. cliente;Fattore valuta;Partita IVA;C/C bancario;Importo residuo documento;Tipo di documento Fattura;Nota di Credito Collegata;Flg In Commessa;Nr. fornitore;Descrizione Fornitore;Fattura Acquisto Origine;Inviato allo SDI
FVI25-00179;;C00001;IBL Banca S.P.A.;;;2.842,80;2.842,80;0,00;;00187;01/08/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00178;;C00001;IBL Banca S.P.A.;;;2.040,00;2.040,00;0,00;;00187;30/07/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00177;;C00044;PERMICRO  S.P.A ;;;125,00;125,00;0,00;;10121;30/07/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via XX Settembre nr.38;TORINO;TO;Via XX Settembre nr.38;TORINO;;CLI_IT;0,;09645130015;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00176;;C00035;Mediobanca  Premier Spa;;;359,00;359,00;0,00;;20100;30/07/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Viale Bodio 37 palazzo 4;MILANO;MI;Viale Bodio 37 palazzo 4;MILANO;;CLI_IT;0,;10536040966;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00175;;C00083;MAGISTRI ALESSIO;;;2.160,00;2.160,00;0,00;;21013;30/07/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;VIA STATUTO NR. 13;GALLARATE;VA;VIA STATUTO NR. 13;GALLARATE;;CLI_IT;0,;;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00174;;C00081;RIZZI MARIA;;;3.240,00;3.240,00;0,00;;76016;30/07/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;VIA BELLINI VINCENZO SNC;MARGHERITA DI SAVOIA;FG;VIA BELLINI VINCENZO SNC;MARGHERITA DI SAVOIA;;CLI_IT;0,;;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00172;;C00026;Switcho S.r.l.;;;965,00;1.177,30;168,41;;20124;24/07/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;Via Felice Casati nr.1/a;MILANO;MI;Via Felice Casati nr.1/a;MILANO;;CLI_IT;0,;10740070965;;168,41;TD01;FALSO;FALSO;;;;FALSO
FVI25-00169;;C00001;IBL Banca S.P.A.;;;7.799,95;7.799,95;0,00;;00187;23/07/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00168;;C00080;CRESPI LUISA MARIA;;;1.930,00;1.930,00;0,00;;21052;23/07/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;VIA LUIGI EINAUDI NR. 1;BUSTO ARSIZIO;VA;VIA LUIGI EINAUDI NR. 1;BUSTO ARSIZIO;;CLI_IT;0,;;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00167;;C00001;IBL Banca S.P.A.;;;3.513,60;3.513,60;0,00;;00187;21/07/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00166;;C00001;IBL Banca S.P.A.;;;2.010,00;2.010,00;0,00;;00187;17/07/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00165;;C00021;Iside Broker Insurance S.R.L.;;;1.941,30;1.941,30;0,00;;22063;16/07/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Asiago, 27;CANTU';CO;Via Asiago, 27;CANTU';;CLI_IT;0,;03361320132;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00164;;C00035;Mediobanca  Premier Spa;;;3.912,50;3.912,50;0,00;;20100;16/07/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Viale Bodio 37 palazzo 4;MILANO;MI;Viale Bodio 37 palazzo 4;MILANO;;CLI_IT;0,;10536040966;;0,00;TD01;FALSO;FALSO;;;;FALSO
