Nr.;Nr. ordine;Nr. cliente;Ragione Sociale;Cod. valuta;Data scadenza;Importo;Importo IVA inclusa;Importo residuo;Spedire a - Codice;Spedire a - CAP;Data di registrazione;Cod. agente;Cdc Codice;Cod. colleg. dimen. 2;Cod. ubicazione;Copie stampate;Cod. condizioni pagam.;Chiuso;Annullato;Rettifica;E-mail inviata;Data/ora invio mail;Fatturare a - Indirizzo;Fatturare a - Città;Provincia di fatturazione;Spedire a - Indirizzo;Spedire a - Città;Cod. metodo di pagamento;Cat. reg. cliente;Fattore valuta;Partita IVA;C/C bancario;Importo residuo documento;Tipo di documento Fattura;Nota di Credito Collegata;Flg In Commessa;Nr. fornitore;Descrizione Fornitore;Fattura Acquisto Origine;Inviato allo SDI
FVI25-00121;;C00061;ALLEGRETTI  MICHELE;;;3.000,00;3.000,00;0,00;;76016;29/05/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;; PIAZZA DANTE ALIGHIERI 7;MARGHERITA DI SAVOIA;FG; PIAZZA DANTE ALIGHIERI 7;MARGHERITA DI SAVOIA;;CLI_IT;0,;;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00120;;C00001;IBL Banca S.P.A.;;;2.898,00;2.898,00;0,00;;00187;26/05/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00118;;C00018;BNT BANCA S.p.A.;;;1.663,20;1.663,20;0,00;;23100;22/05/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Piazza Garibaldi, 16;SONDRIO;SO;Piazza Garibaldi, 16;SONDRIO;;CLI_IT;0,;01086930144;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00117;;C00001;IBL Banca S.P.A.;;;1.268,40;1.268,40;0,00;;00187;22/05/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00116;;C00035;Mediobanca  Premier Spa;;;2.590,00;2.590,00;0,00;;20100;21/05/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Viale Bodio 37 palazzo 4;MILANO;MI;Viale Bodio 37 palazzo 4;MILANO;;CLI_IT;0,;10536040966;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00115;;C00018;BNT BANCA S.p.A.;;;4.465,20;4.465,20;4.465,20;;23100;21/05/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;Piazza Garibaldi, 16;SONDRIO;SO;Piazza Garibaldi, 16;SONDRIO;;CLI_IT;0,;01086930144;;4.465,20;TD01;FALSO;FALSO;;;;FALSO
FVI25-00114;;C00019;Agos Ducato S.p.A.;;;3.731,10;3.731,10;0,00;;20126;20/05/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Viale Fulvio Testi, 280;MILANO;MI;Viale Fulvio Testi, 280;MILANO;;CLI_IT;0,;08570720154;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00113;;C00001;IBL Banca S.P.A.;;;2.849,93;2.849,93;0,00;;00187;19/05/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00112;;C00004;Banca di Sconto S.p.A.;;;2.114,64;2.114,64;2.114,64;;00187;19/05/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;Via Venti Settembre, 30;ROMA;RM;Via Venti Settembre, 30;ROMA;BO;CLI_IT;0,;14994571009;;2.114,64;TD01;FALSO;FALSO;;;;FALSO
FVI25-00111;;C00018;BNT BANCA S.p.A.;;;1.632,00;1.632,00;0,00;;23100;13/05/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Piazza Garibaldi, 16;SONDRIO;SO;Piazza Garibaldi, 16;SONDRIO;;CLI_IT;0,;01086930144;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00109;;C00001;IBL Banca S.P.A.;;;1.638,00;1.638,00;0,00;;00187;12/05/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00108;;C00004;Banca di Sconto S.p.A.;;;2.066,40;2.066,40;0,00;;00187;12/05/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Venti Settembre, 30;ROMA;RM;Via Venti Settembre, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00107;;C00021;Iside Broker Insurance S.R.L.;;;3.875,91;3.875,91;3.875,91;;22063;12/05/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;Via Asiago, 27;CANTU';CO;Via Asiago, 27;CANTU';;CLI_IT;0,;03361320132;;3.875,91;TD01;FALSO;FALSO;;;;FALSO
FVI25-00106;;C00031;YOUNITED;;;210,00;210,00;0,00;;00187;12/05/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Sardegna, 40;ROMA;RM;Via Sardegna, 40;ROMA;;CLI_IT;0,;13722821009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00105;;C00001;IBL Banca S.P.A.;;;2.736,00;2.736,00;2.736,00;;00187;08/05/2025;;;;;0;0GDF;FALSO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;2.736,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00104;;C00001;IBL Banca S.P.A.;;08/05/2025;14.610,60;14.610,60;0,00;;00187;08/05/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00103;;C00019;Agos Ducato S.p.A.;;06/05/2025;5.965,50;5.965,50;274,41;;20126;06/05/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;Viale Fulvio Testi, 280;MILANO;MI;Viale Fulvio Testi, 280;MILANO;;CLI_IT;0,;08570720154;;274,41;TD01;FALSO;FALSO;;;;FALSO
FVI25-00102;;C00001;IBL Banca S.P.A.;;06/05/2025;4.364,40;4.364,40;200,76;;00187;06/05/2025;;;;;0;0GDF;FALSO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;200,76;TD01;FALSO;FALSO;;;;FALSO
FVI25-00101;;C00027;Fucino Finance S.P.A.;;;29.582,24;29.582,24;29.582,24;;00186;06/05/2025;;;;;0;VISTA;FALSO;VERO;FALSO;FALSO;;Via Tomacelli, 107;ROMA;RM;Via Tomacelli, 107;ROMA;;CLI_IT;0,;01861900189;;29.582,24;TD01;FALSO;FALSO;;;;FALSO
FVI25-00099;;C00027;Fucino Finance S.P.A.;;;29.582,24;29.582,24;0,00;;00186;05/05/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Tomacelli, 107;ROMA;RM;Via Tomacelli, 107;ROMA;;CLI_IT;0,;01861900189;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00098;;C00004;Banca di Sconto S.p.A.;;;175,20;175,20;0,00;;00187;02/05/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Venti Settembre, 30;ROMA;RM;Via Venti Settembre, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00097;;C00004;Banca di Sconto S.p.A.;;;12.458,88;12.458,88;0,00;;00187;02/05/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Venti Settembre, 30;ROMA;RM;Via Venti Settembre, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00096;;C00001;IBL Banca S.P.A.;;02/05/2025;1.253,70;1.253,70;57,67;;00187;02/05/2025;;;;;0;0GDF;FALSO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;57,67;TD01;FALSO;FALSO;;;;FALSO
FVI25-00095;;C00001;IBL Banca S.P.A.;;;4.942,20;4.942,20;0,00;;00187;30/04/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00094;;C00024;Banca Nazionale del Lavoro S.p.A.;;;619,62;619,62;0,00;;00157;24/04/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Altiero Spinelli, 30;ROMA;RM;Via Altiero Spinelli, 30;ROMA;;CLI_IT;0,;09339391006;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00093;;C00004;Banca di Sconto S.p.A.;;;4.887,60;4.887,60;0,00;;00187;24/04/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Venti Settembre, 30;ROMA;RM;Via Venti Settembre, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00092;;C00001;IBL Banca S.P.A.;;;4.056,60;4.056,60;0,00;;00187;24/04/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00091;;C00021;Iside Broker Insurance S.R.L.;;;2.050,09;2.050,09;0,00;;22063;23/04/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Asiago, 27;CANTU';CO;Via Asiago, 27;CANTU';;CLI_IT;0,;03361320132;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00090;;C00059;LAPENNA VINCENZO;;;3.000,00;3.000,00;0,00;;76015;17/04/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;; VIA PIAVE 25;TRINITAPOLI;FG; VIA PIAVE 25;TRINITAPOLI;;CLI_IT;0,;;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00089;;C00058;LEONETTI ANTONIO ;;;2.400,00;2.400,00;0,00;;76123;17/04/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;VIA AURELIO SALICETI 18;ANDRIA;BT;VIA AURELIO SALICETI 18;ANDRIA;;CLI_IT;0,;;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00088;;C00057; ACQUAVIVA STEFANO;;;3.400,00;3.400,00;0,00;;71046;17/04/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;VIA PROLOGO 16 ;SAN FERDINANDO DI PUGLIA;FG;VIA PROLOGO 16 ;SAN FERDINANDO DI PUGLIA;;CLI_IT;0,;;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00087;;C00004;Banca di Sconto S.p.A.;;;4.321,20;4.321,20;0,00;;00187;17/04/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Venti Settembre, 30;ROMA;RM;Via Venti Settembre, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00086;;C00001;IBL Banca S.P.A.;;;1.399,20;1.399,20;0,00;;00187;17/04/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00085;;C00018;BNT BANCA S.p.A.;;;1.632,00;1.632,00;1.632,00;;23100;16/04/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;Piazza Garibaldi, 16;SONDRIO;SO;Piazza Garibaldi, 16;SONDRIO;;CLI_IT;0,;03944450968;;1.632,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00084;;C00046;ASSICURA POINT BROKER SRL;;;101,50;101,50;0,00;;10153;16/04/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;LUNGO DORA COLLETTA NR.67;TORINO;TO;LUNGO DORA COLLETTA NR.67;TORINO;BO;CLI_IT;0,;12003220014;BANCA;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00082;;C00037;CONFESERFIDI SOC.CONS. a.r.l;;10/04/2025;800,00;800,00;36,80;;97018;10/04/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;Via del Lillà nr. 22;SCICLI;RG;Via del Lillà nr. 22;SCICLI;;CLI_IT;0,;01188660888;;36,80;TD01;FALSO;FALSO;;;;FALSO
FVI25-00081;;C00046;ASSICURA POINT BROKER SRL;;;145,00;145,00;145,00;;10153;10/04/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;LUNGO DORA COLLETTA NR.67;TORINO;TO;LUNGO DORA COLLETTA NR.67;;BO;CLI_IT;0,;;BANCA;145,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00080;;C00001;IBL Banca S.P.A.;;;3.929,40;3.929,40;0,00;;00187;10/04/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00079;;C00004;Banca di Sconto S.p.A.;;;13.681,92;13.681,92;0,00;;00187;10/04/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Venti Settembre, 30;ROMA;RM;Via Venti Settembre, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00078;;C00020;COMPASS Banca S.p.A.;;;259,81;259,81;0,00;;20153;07/04/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Caldera, 21;MILANO;MI;Via Caldera, 21;MILANO;;CLI_IT;0,;10536040966;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00077;;C00035;Mediobanca  Premier Spa;;;2.730,00;2.730,00;0,00;;20100;07/04/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Viale Bodio 37 palazzo 4;MILANO;MI;Viale Bodio 37 palazzo 4;MILANO;;CLI_IT;0,;10536040966;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00076;;C00044;PERMICRO  S.P.A ;;;125,00;125,00;0,00;;10121;07/04/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via XX Settembre nr.38;TORINO;TO;Via XX Settembre nr.38;TORINO;;CLI_IT;0,;09645130015;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00075;;C00027;Fucino Finance S.P.A.;;;4.994,40;4.994,40;0,00;;00186;07/04/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Tomacelli, 107;ROMA;RM;Via Tomacelli, 107;ROMA;;CLI_IT;0,;01861900189;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00074;;C00001;IBL Banca S.P.A.;;;8.274,96;8.274,96;0,00;;00187;03/04/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00073;;C00001;IBL Banca S.P.A.;;;5.716,80;5.716,80;0,00;;00187;03/04/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00072;;C00001;IBL Banca S.P.A.;;;2.560,80;2.560,80;0,00;;00187;02/04/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00071;;C00004;Banca di Sconto S.p.A.;;;4.053,60;4.053,60;0,00;;00187;01/04/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Venti Settembre, 30;ROMA;RM;Via Venti Settembre, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00070;;C00004;Banca di Sconto S.p.A.;;;13.687,20;13.687,20;0,00;;00187;01/04/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Venti Settembre, 30;ROMA;RM;Via Venti Settembre, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00069;;C00001;IBL Banca S.P.A.;;;2.648,64;2.648,64;0,00;;00187;26/03/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00068;;C00024;Banca Nazionale del Lavoro S.p.A.;;;371,65;371,65;0,00;;00157;26/03/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Altiero Spinelli, 30;ROMA;RM;Via Altiero Spinelli, 30;ROMA;;CLI_IT;0,;09339391006;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00067;;C00004;Banca di Sconto S.p.A.;;;3.288,00;3.288,00;0,00;;00187;24/03/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Venti Settembre, 30;ROMA;RM;Via Venti Settembre, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00066;;C00004;Banca di Sconto S.p.A.;;;4.723,20;4.723,20;0,00;;00187;17/03/2025;;NAPOLI;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Venti Settembre, 30;ROMA;RM;Via Venti Settembre, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00065;;C00027;Fucino Finance S.P.A.;;;1.800,00;1.800,00;0,00;;00186;10/03/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Tomacelli, 107;ROMA;RM;Via Tomacelli, 107;ROMA;;CLI_IT;0,;01861900189;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00064;;C00004;Banca di Sconto S.p.A.;;;11.649,60;11.649,60;0,00;;00187;10/03/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Venti Settembre, 30;ROMA;RM;Via Venti Settembre, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00063;;C00019;Agos Ducato S.p.A.;;;1.307,70;1.307,70;0,00;;20126;08/03/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Viale Fulvio Testi, 280;MILANO;MI;Viale Fulvio Testi, 280;MILANO;;CLI_IT;0,;08570720154;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00062;;C00035;Mediobanca  Premier Spa;;;208,80;208,80;0,00;;20100;06/03/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Viale Bodio 37 palazzo 4;MILANO;MI;Viale Bodio 37 palazzo 4;MILANO;;CLI_IT;0,;10536040966;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00061;;C00001;IBL Banca S.P.A.;;;2.364,48;2.364,48;0,00;;00187;06/03/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00060;;C00001;IBL Banca S.P.A.;;;1.224,00;1.224,00;0,00;;00187;06/03/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00059;;C00027;Fucino Finance S.P.A.;;;3.973,52;3.973,52;0,00;;00186;05/03/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Tomacelli, 107;ROMA;RM;Via Tomacelli, 107;ROMA;;CLI_IT;0,;01861900189;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00058;;C00055;MOROZAN VICTOR ;;;1.500,00;1.500,00;0,00;;40100;05/03/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;VIA MONDO 21;BOLOGNA;BO;VIA MONDO 21;BOLOGNA;;CLI_IT;0,;;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00057;;C00054;LOMBARDI RUGGERO GIUSEPPE;;;2.080,00;2.080,00;0,00;;70052;05/03/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;VIA GIUSEPPE VERDI 10;BISCEGLIE;BA;VIA GIUSEPPE VERDI 10;BISCEGLIE;;CLI_IT;0,;;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00056;;C00053;GRILLO SALVATORE ANTONIO;;;1.962,00;1.962,00;1.962,00;;89842;05/03/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;VIA MENOTTI 24;SAN CALOGERO;VV;VIA MENOTTI 24;SAN CALOGERO;;CLI_IT;0,;;;1.962,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00055;;C00052;DE PAOLA GIACOMO;;;1.260,00;1.260,00;0,00;;70025;05/03/2025;;;;;1;VISTA;VERO;FALSO;FALSO;FALSO;;VIA DALLA CHIESA 31/I;GRUMO APPULA;BA;VIA DALLA CHIESA 31/I;GRUMO APPULA;;CLI_IT;0,;;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00054;;C00051;COZZOLINO GIORGIO;;;725,00;725,00;725,00;;80059;05/03/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;VIA EVA PERON 10;TORRE DEL GRECO;NA;VIA EVA PERON 10;TORRE DEL GRECO;;CLI_IT;0,;;;725,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00053;;C00050;CONDELLO GIUSEPPE;;;1.950,00;1.950,00;1.950,00;;94015;05/03/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;VIA GORIZIA 5;PIAZZA ARMERINA;EN;VIA GORIZIA 5;PIAZZA ARMERINA;;CLI_IT;0,;;;1.950,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00052;;C00049;CECI ANTONIO;;;1.440,00;1.440,00;1.440,00;;71100;05/03/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;VIA SAN CASSANO 1;FOGGIA;FG;VIA SAN CASSANO 1;FOGGIA;;CLI_IT;0,;;;1.440,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00051;;C00048;CAMPAGNUOLO CONCETTINA;;;750,00;750,00;750,00;;00040;05/03/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;VIA CILE 13;POMEZIA;RM;VIA CILE 13;POMEZIA;;CLI_IT;0,;;;750,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00050;;C00047;LOMONTE FRANCO;;;550,00;550,00;550,00;;76123;05/03/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;VIA LUSSEMBURGO NR.29;ANDRIA;BT;VIA LUSSEMBURGO NR.29;ANDRIA;;CLI_IT;0,;;;550,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00049;;C00027;Fucino Finance S.P.A.;;;2.462,35;2.462,35;0,00;;00186;03/03/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Tomacelli, 107;ROMA;RM;Via Tomacelli, 107;ROMA;;CLI_IT;0,;01861900189;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00047;;C00020;COMPASS Banca S.p.A.;;;1.360,40;1.360,40;1.360,40;;20153;03/03/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;Via Caldera, 21;MILANO;MI;Via Caldera, 21;MILANO;;CLI_IT;0,;10536040966;;1.360,40;TD01;FALSO;FALSO;;;;FALSO
FVI25-00046;;C00001;IBL Banca S.P.A.;;;3.197,90;3.197,90;0,00;;00187;03/03/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00045;;C00004;Banca di Sconto S.p.A.;;;10.245,96;10.245,96;0,00;;00187;03/03/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Venti Settembre, 30;ROMA;RM;Via Venti Settembre, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00044;;C00004;Banca di Sconto S.p.A.;;;10.522,32;10.522,32;0,00;;00187;27/02/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Venti Settembre, 30;ROMA;RM;Via Venti Settembre, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00043;;C00024;Banca Nazionale del Lavoro S.p.A.;;;1.350,00;1.350,00;0,00;;00157;27/02/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Altiero Spinelli, 30;ROMA;RM;Via Altiero Spinelli, 30;ROMA;;CLI_IT;0,;09339391006;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00042;;C00026;Switcho S.r.l.;;;330,00;330,00;330,00;;20145;27/02/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;Via Lorenzo Mascheroni, 15;MILANO;MI;Via Lorenzo Mascheroni, 15;MILANO;;CLI_IT;0,;10740070965;;330,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00041;;C00001;IBL Banca S.P.A.;;;2.442,00;2.442,00;0,00;;00187;26/02/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00040;;C00021;Iside Broker Insurance S.R.L.;;;552,23;552,23;0,00;;22063;26/02/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Asiago, 27;CANTU';CO;Via Asiago, 27;CANTU';;CLI_IT;0,;03361320132;;0,00;TD01;FALSO;FALSO;;;;FALSO
